RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
16636,808.0293,69,1,2,2,2,3,6,
15615,965.7852,80,2,2,1,5,2,6,
4289,442.7468,57,2,1,2,3,2,7,
6326,1001.5484,58,1,2,3,3,4,10,
8534,442.7468,58,2,1,2,2,1,6,
21383,420.0244,61,2,1,2,3,2,10,
4469,390.3513,75,1,1,1,1,3,8,
11974,597.3989,38,2,1,2,1,2,7,
22193,1466.0116,44,1,2,1,1,2,11,
21700,1912.8674,40,2,3,2,2,4,1,
6202,959.8972,59,2,2,8,4,4,98,
15561,1057.1416,51,2,3,2,1,1,11,
21542,1480.6768,55,2,3,2,2,2,10,
6216,1310.5201,36,2,2,2,2,5,4,
13830,1279.5814,46,1,4,2,1,3,11,
16142,367.9002,63,1,1,2,3,2,10,
11030,936.7976,65,1,2,2,1,1,6,
6726,808.0293,68,1,2,2,2,3,5,
5304,1769.7559,20,2,3,2,5,1,3,
12414,2061.7431,30,1,3,1,4,2,98,
20990,828.599,71,2,2,2,5,3,3,
181,1973.2622,33,1,2,1,3,2,9,
13636,1793.1388,50,1,4,2,1,2,8,
7537,2550.4899,41,2,5,3,4,1,6,
6934,910.6339,62,2,2,2,2,3,5,
8874,4164.0036,26,2,4,2,1,3,4,
17417,959.1361,80,1,1,1,2,2,8,
9961,1276.5979,36,2,4,2,1,2,2,
32,2207.185,19,2,4,9,3,2,2,
22011,442.7468,58,2,1,4,2,5,7,
16536,2216.1178,17,1,4,7,4,2,1,
16344,676.4287,39,2,3,2,3,2,10,
14942,488.0272,45,2,2,3,5,3,5,
8351,2016.8462,27,2,2,2,4,3,8,
15295,420.0244,63,2,1,2,4,1,98,
14953,1283.3107,32,2,3,2,1,2,10,
5740,1413.3414,44,1,3,3,2,3,6,
11681,1283.3107,31,2,4,3,2,2,6,
18326,1041.0009,27,2,3,3,4,3,99,
16494,1964.641,28,2,4,2,2,2,4,
5041,786.3986,39,1,4,3,3,5,98,
5694,359.3884,60,2,1,2,2,2,10,
19188,598.4624,71,2,2,1,5,5,99,
21962,1304.7138,46,2,5,2,2,3,2,
21043,336.5186,66,1,1,1,4,3,10,
4267,768.0671,16,2,4,7,5,2,1,
3956,763.0769,38,2,6,4,3,4,8,
92,734.3091,73,1,2,1,3,2,10,
14841,660.2814,71,2,2,3,3,4,5,
9072,443.3865,48,1,1,1,1,3,12,
5433,1360.8644,26,2,2,2,3,2,98,
2691,786.774,33,2,6,2,1,2,99,
5859,699.8059,57,1,2,3,2,2,6,
10086,275.3599,75,2,1,2,3,3,5,
17616,872.3179,42,1,3,1,1,1,11,
5064,1380.5438,44,2,5,1,3,2,1,
9198,664.5132,28,2,4,3,2,2,7,
4331,443.3865,46,1,1,1,2,4,9,
18033,772.7981,61,2,2,2,2,2,98,
19473,598.4624,73,2,2,3,2,3,99,
11656,1152.1006,18,2,3,2,4,2,2,
7731,275.3599,76,2,1,3,5,5,4,
3328,241.4106,80,2,1,2,5,3,7,
10654,1115.0552,80,1,2,2,5,3,7,
9907,872.961,66,1,2,2,3,3,7,
9714,872.3179,40,1,4,2,4,2,8,
