,RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,hsd_dif_sqr
6464,10915,412.4075,80,2,1,2,2,4,5,2.231784287908177
6465,15331,1069.612,80,1,2,2,3,1,8,0.24395277464764714
6466,20177,434.1545,58,2,2,3,3,2,7,0.24395277464764714
6467,19677,521.4296,26,2,3,3,5,2,1,0.25612126138711716
6468,7418,1638.9743,31,2,4,2,5,4,1,2.268289748126587
6469,6950,997.3497,28,2,4,2,1,1,1,2.268289748126587
6470,19791,607.0477,58,2,2,2,1,3,98,0.24395277464764714
6471,19944,902.7537,44,1,2,3,2,3,7,0.24395277464764714
6472,11443,725.6544,45,1,2,2,1,2,6,0.24395277464764714
6473,17615,491.0265,65,2,2,2,2,2,1,0.24395277464764714
6474,12927,498.0716,37,1,1,1,4,2,10,2.231784287908177
6475,21883,534.101,65,2,2,2,5,4,2,0.24395277464764714
6476,786,491.0265,67,2,2,3,4,2,3,0.24395277464764714
6477,18027,2253.7649,24,2,4,2,4,2,4,2.268289748126587
6478,5250,1611.2487,17,2,4,7,5,2,2,2.268289748126587
6479,21045,1469.0582,44,2,4,2,3,2,7,2.268289748126587
6480,91,877.3983,41,1,4,3,1,3,8,2.268289748126587
6481,19838,322.6878,64,1,1,3,2,3,6,2.231784287908177
6482,20566,607.0477,55,2,2,1,2,2,8,0.24395277464764714
6483,18355,674.8727,39,2,3,4,2,3,2,0.25612126138711716
6484,1355,348.7228,51,2,1,2,3,4,8,2.231784287908177
6485,14492,274.9476,63,2,1,1,1,2,10,2.231784287908177
6486,10132,725.7609,66,1,2,2,2,2,8,0.24395277464764714
6487,10630,757.4503,51,2,2,1,4,1,11,0.24395277464764714
6488,2777,984.967,54,1,2,2,2,3,8,0.24395277464764714
6489,76,704.7671,62,1,2,2,2,2,8,0.24395277464764714
6490,7121,711.7901,46,2,2,3,5,3,6,0.24395277464764714
6491,14796,322.6878,60,1,1,1,5,4,3,2.231784287908177
6492,2848,137.4692,80,2,1,1,3,2,10,2.231784287908177
6493,14736,584.5331,63,2,2,1,2,2,8,0.24395277464764714
6494,20726,597.2054,62,2,2,2,5,3,98,0.24395277464764714
6495,713,607.0477,56,2,2,3,5,3,2,0.24395277464764714
